id,condicao,nome,forma_pagamento,anotacao,valor,data_compra,tipo_transacao,qtde_parcela,periodo,parcela_atual,qtde_recorrencia,data_vencimento,dt_pagamento_boleto,realizado,dividido,antecipado,antecipacao_id,created_at,user_id,cartao_id,conta_id,categoria_id,pagador_id
8bc42509-311c-4b30-a58d-4c7b7bade79f,À vista,ASSAI ATACADISTA LJ32,Cartão de crédito,,-24.54,2025-11-05,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.935873+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,ca30b910-d456-44d0-839d-85cb20f524be,c7f384ab-caa5-4452-91a7-0c4d9ced337f
531f9c4a-95ad-4acd-8766-7dd082f4fd50,À vista,ATACADAO 0255 AS,Cartão de crédito,,-64.18,2025-11-05,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.936009+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,ca30b910-d456-44d0-839d-85cb20f524be,c7f384ab-caa5-4452-91a7-0c4d9ced337f
6aa190df-0d9b-4b9d-b189-c320b451acfc,À vista,MONTE,Cartão de crédito,,-16.4,2025-11-05,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.936154+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,6cf64a01-c3b6-429d-b571-c53642298013,c7f384ab-caa5-4452-91a7-0c4d9ced337f
6cdd8960-9de8-408b-b8b3-917ebe799d78,À vista,SUPERMERCADO SANTA LUCI,Cartão de crédito,,-9.98,2025-11-07,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.936279+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,ca30b910-d456-44d0-839d-85cb20f524be,c7f384ab-caa5-4452-91a7-0c4d9ced337f
2e91faea-424d-4a4a-b9ec-30051d21b35b,À vista,SUPERMERCADO SANTA LUCI,Cartão de crédito,,-26.31,2025-11-07,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.936389+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,ca30b910-d456-44d0-839d-85cb20f524be,c7f384ab-caa5-4452-91a7-0c4d9ced337f
045b2f72-edb8-4009-bfb5-a0cb4f948397,À vista,2A IMPORTADOS,Cartão de crédito,,-19.99,2025-11-07,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.936544+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,6cf64a01-c3b6-429d-b571-c53642298013,c7f384ab-caa5-4452-91a7-0c4d9ced337f
ee6e5fe5-bba0-41ac-a10e-7bee27774c02,À vista,JIRAI DE COUTO,Cartão de crédito,,-13.0,2025-11-07,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.936681+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,6cf64a01-c3b6-429d-b571-c53642298013,c7f384ab-caa5-4452-91a7-0c4d9ced337f
5739e0fd-d718-4782-afd4-20e19d965cdd,À vista,IFOOD CLUB Osasco,Cartão de crédito,,-5.95,2025-11-07,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.936795+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,28f66409-c4e1-405a-809b-b04f7bc90c5d,c7f384ab-caa5-4452-91a7-0c4d9ced337f
c9421666-7abf-444e-a4d4-f0141b8aad28,À vista,AMAZONMKTPLC EZOOMARKE BARUERI,Cartão de crédito,,-18.98,2025-11-07,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.936935+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,6cf64a01-c3b6-429d-b571-c53642298013,c7f384ab-caa5-4452-91a7-0c4d9ced337f
04f4dec2-457a-4383-a826-248b60cefbbd,À vista,SHOPPING DO ESTUDANTE,Cartão de crédito,,-21.0,2025-11-08,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.937105+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,6cf64a01-c3b6-429d-b571-c53642298013,c7f384ab-caa5-4452-91a7-0c4d9ced337f
aa13dade-43e2-425a-8763-e8e0a00e8f79,À vista,PANIFICADORA CAROL,Cartão de crédito,,-13.66,2025-11-08,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.937291+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,5efeaafb-b096-4a0c-a573-cf25e06c785d,c7f384ab-caa5-4452-91a7-0c4d9ced337f
3e5ad42f-0671-4e5b-9ae6-35a16ed18626,À vista,PANIFICADORA QUERO+,Cartão de crédito,,-21.0,2025-11-10,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.937483+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,5efeaafb-b096-4a0c-a573-cf25e06c785d,c7f384ab-caa5-4452-91a7-0c4d9ced337f
c0410e60-df7a-4c3f-9ecd-626a3dc5397c,À vista,AGRONORTE,Cartão de crédito,,-50.0,2025-11-10,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.937634+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,94328c54-0ac7-4515-b65e-9eb5e9f84af5,c7f384ab-caa5-4452-91a7-0c4d9ced337f
a558104b-8cab-47ad-95ba-bec3b159cef5,À vista,L. DA SILVEIRA BALBI,Cartão de crédito,,-10.95,2025-11-11,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.937773+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,6cf64a01-c3b6-429d-b571-c53642298013,c7f384ab-caa5-4452-91a7-0c4d9ced337f
ff101fbb-dda7-47f2-8a6f-96344a87fbed,À vista,ALEMDALENDA,Cartão de crédito,,-15.0,2025-11-11,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.937941+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,6cf64a01-c3b6-429d-b571-c53642298013,c7f384ab-caa5-4452-91a7-0c4d9ced337f
19cc5ca1-2de5-4f03-b59f-09d572d82b2b,À vista,SUPERMERCADO SANTA LUCI,Cartão de crédito,,-21.71,2025-11-12,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.938098+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,ca30b910-d456-44d0-839d-85cb20f524be,c7f384ab-caa5-4452-91a7-0c4d9ced337f
091c1e36-7a96-454b-a41f-b1218f73bf32,À vista,CHAMA CASA E CONSTRUC,Cartão de crédito,,-14.99,2025-11-12,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.938245+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,045da7f5-6033-4f71-8b13-c1b482a94282,c7f384ab-caa5-4452-91a7-0c4d9ced337f
2118a8ce-fce2-416b-be28-a09f12ffdeb7,À vista,ASSAI ATACADISTA LJ32,Cartão de crédito,,-35.29,2025-11-12,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.938359+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,ca30b910-d456-44d0-839d-85cb20f524be,c7f384ab-caa5-4452-91a7-0c4d9ced337f
e58d9ba6-5169-48e5-bb89-e5fad7b466bb,À vista,PAO DA VIDA,Cartão de crédito,,-26.0,2025-11-14,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.938470+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,5efeaafb-b096-4a0c-a573-cf25e06c785d,c7f384ab-caa5-4452-91a7-0c4d9ced337f
